name,description,category,organization,country,location,notes_location,start_date,end_date,notes_duration,data_accessibility,accessibility_for_research,project_information_url,data_url
Vreemdelingenkaarten,Citizens register the information on scans of cards from Amsterdam between 1920 and 1970. ,History,Stadsarchief Amsterdam,The Netherlands,,,2021.0,ongoing,,Probably once finished,Unsure,https://velehanden.nl/projecten/bekijk/details/project/amsterdam_index_vreemdelingenkaarten,https://archief.amsterdam/indexen/persons
Bevolkingsregisters gemeentearchief Steenwijkerland 1826 - 1939,Citizens help index scans of population registers from Steenwijkerland between 1826 and 1939.,History,Gemeentearchief Steenwijkerland,The Netherlands,,,2015.0,2016,,Viewable,Yes,https://velehanden.nl/projecten/bekijk/details/status/closed/page/2/project/swl_bvr,https://www.archieven.nl/mi/1648/?mivast=1648&mizig=0&miadt=1648&miview=lst&mizk_alle=trefwoord:Bevolkingsregistratiehttps://www.archieven.nl/mi/1648/?mivast=1648&mizig=0&miadt=1648&miview=lst&mizk_alle=trefwoord:Bevolkingsregistratie
Bevolkingsregisters Noord-Hollands Archief,"Citizens help index scans of population registers from Kennemerland, and Amstel- and Meerlanden from 19th and 20th century.",History,Noord-Hollands Archief,The Netherlands,,,2017.0,ongoing,,Probably viewable once finished,No,https://velehanden.nl/projecten/bekijk/details/page/2/project/ranh_index,-
Dijken van Polders,Citizens add unto the already existing description of photos with events and people depicted on them. ,History,Flevolands Archief,The Netherlands,,,2020.0,ongoing,,Probably viewable once finished,No,https://velehanden.nl/projecten/bekijk/details/project/hfl_tagging_rijpcollectie,-
Overgenomen Delen 1892-1920,Citizens help index the data from scans on people that have died or left Amsterdam from 1892 up until 1920. ,History,Stadsarchief Amsterdam,The Netherlands,,,2012.0,2015,,Viewable,Yes,https://velehanden.nl/projecten/bekijk/details/status/closed/page/3/project/amsterdam_ogd,https://archief.amsterdam/uitleg/indexen/65-bevolkingsregister-overgenomen-delen-1892-1920?utm_source=OpenArchieven&utm_medium=browser&utm_campaign=OpenData
Nieuws 2.0! Lokale kronieken -  1500 - 1850,Citizens help annotate transcribed Dutch chronicles. ,History,Leiden University and VU Amsterdam,The Netherlands,,,2020.0,ongoing,,Probably viewable once finished,No,https://velehanden.nl/projecten/bekijk/details/project/vua_annoteer_kronieken_transkribus,-
Vele Voeten,Citizens help digitalize participant registers of the Nijmegen Four Days Marches in a public project (regarding the participants between 1921 and 1939) and a closed project (regarding the participants between 1941 and 1987). ,History,Regionaal Archief Nijmegen,The Netherlands,,,2015.0,2016,,Viewable,Yes,https://velehanden.nl/projecten/bekijk/details/status/closed/page/2/project/picvh_han,https://www.huisvandenijmeegsegeschiedenis.nl/info/Deelnemersregistratie_Vierdaagse
Familie van je?,"Citizens help index scans with data of the people that have lived between 1822 and 1859 in Veenhuizen, on the Ommerschans and in the colonies Frederiksoord, Wilhelminaoord and Willemsoord.",History,Drents Archief,The Netherlands,,,2018.0,2019,,Viewable,Yes,https://velehanden.nl/projecten/bekijk/details/status/closed/page/1/project/dre_index_inschrijvingsregisters,https://www.drentsarchief.nl/onderzoeken/zoektips/stamboomonderzoek
Utrechtse notariële akten (1780 - 1811),Citizens transcribe notary deeds from notaries from Utrecht between 1780 and 1811. ,History,Gemeentearchief Utrecht,The Netherlands,,,2019.0,ongoing,,Probably viewable once finished,No,https://velehanden.nl/projecten/bekijk/details/project/utrecht_transcription_notarieel,-
Bevolkingsregisters Deventer 1811 - 1940,"Citizens help index scans of population registers of the population of Deventer between 1829 and 1940, of Diepenveen between 1840 and 1939, and of Bathmen between 1811 and 1937.",History,Stadsarchief en Athenaeumbibliotheek (SAB) Deventer,The Netherlands,,,2013.0,2013,,Viewable,Yes,https://velehanden.nl/projecten/bekijk/details/status/closed/page/3/project/sad,https://www.archieven.nl/nl/zoeken?mivast=0&mizig=0&miadt=0&milang=nl&misort=score%7Cdesc&mizk_alle=deventer&mif3=2&miview=lst
Bevolkingsregisters stad Utrecht (1850 - 1889),Citizens help index scans of population registers from Utrecht between 1850 and 1889.,History,Utrechts Archief,The Netherlands,,,2020.0,ongoing,,Probably viewable once finished,No,https://velehanden.nl/projecten/bekijk/details/project/utr_index_bvr_1850_1889,-
Zaanse Verpondingsregisters e.a.,Citizens enter in the names of landowners in Zaanstad from scans. ,History,Gemeentearchief Zaanstad,The Netherlands,,,2019.0,ongoing,,Probably viewable once finished,No,https://velehanden.nl/projecten/bekijk/details/project/zaa_index_gaarder,-
Oude Krantenproject,Citizens register the information on scans of the newspapers from the 17th century.,History,Radboud University and the Meertens Instituut,The Netherlands,,,,,,No direct download,No,https://www.iedereenwetenschapper.be/projects/reis-terug-de-tijd,-
Vele Ajacieden 2.0,Citizens describe photos in the archive of Ajax.,History,Ajax Archief,The Netherlands,,,2019.0,ongoing,,Probably viewable once finished,No,https://velehanden.nl/projecten/bekijk/details/project/afc_tagging_2,-
Zaanse briefhoofden,Citizens describe the information in letterheads of old letters from the 19th and 20th century from companies in the Zaanstreek. ,History,Gemeente Zaanstad and Gemeente Oostzaan,The Netherlands,,,2019.0,2020,,No direct download,No,https://velehanden.nl/projecten/bekijk/details/status/closed/page/1/project/zaa_index_bron,-
Buitenlui: Geannexeerde gemeenten Amsterdam,Citizens help index scans of population registers from municapalities that were annexed to Amsterdam between 1830 and 1921.,History,Stadsarchief Amsterdam,The Netherlands,,,2017.0,2019,,Viewable,Yes,https://velehanden.nl/projecten/bekijk/details/status/closed/page/1/project/amsterdam_annex_gem,https://archief.amsterdam/uitleg/indexen/67-bevolkingsregister-geannexeerde-gemeenten-1830-1921
HISGIS Nederlandse steden 1832,"Citizens help index scans of the old parcel registers of Limburg, Noord-Brabant, Noord-Holland and Zuid-Holland. ",History,Fryske Akademy and HISGIS Nederlands,The Netherlands,,,2015.0,ongoing,,Probably viewable once finished,No,https://velehanden.nl/projecten/bekijk/details/page/2/project/fak_noat,-
Kijk Je Rijk(er)!,Citizens help describe digitalize film fragments of Omroep Amersfoort between 1985 and 2011. ,History,Archief Eemland,The Netherlands,,,2015.0,2017,,Viewable,Yes,https://velehanden.nl/projecten/bekijk/details/page/2/status/closed/project/gam2,https://www.archiefeemland.nl/
Bevolkingsregisters stad Utrecht (1900 - 1912),Citizens help index scans of population registers from Utrecht between 1900 and 1912.,History,Utrechts Archief,The Netherlands,,,2015.0,2017,,Probably viewable,Unsure,https://velehanden.nl/projecten/bekijk/details/page/2/status/closed/project/utr_bvr,-
Dagboeken Caspar Reuvens,Citizens transcribe the diaries of Caspar Reuvens.,History,Gemeente Leidschendam-Voorburg,The Netherlands,,,2020.0,2020,,No direct download,No,https://velehanden.nl/projecten/bekijk/details/status/closed/page/1/project/glv_reuvens_transkribus,-
Historisch Amstelveen in beeld,Citizens describe photos in the archives of Amstelveen.,History,Vereniging Historisch Amstelveen,The Netherlands,,,2016.0,ongoing,,Probably viewable once finished,No,https://velehanden.nl/projecten/bekijk/details/page/2/project/gea_tagging,-
30 dagen op zee,Citizens help index scans of repatriation lists of the people that were passengers on one of the ships sailing from the Dutch East Indies to the Netherlands between 1945 and 1967. ,History,Indisch Herinneringscentrum,The Netherlands,,,2019.0,ongoing,,Probably viewable once finished,No,https://velehanden.nl/projecten/bekijk/details/project/moei_index_30dagen,-
HISGIS Drenthe kadastrale registers 1832,Citizens help index scans of the oldest parcel registers of Drenthe. ,History,Fryske Akademy and Drents Archief ,The Netherlands,,,2014.0,2015,,Viewable,Yes,https://velehanden.nl/projecten/bekijk/details/status/closed/page/2/project/fak_oat,https://hisgis.nl/projecten/drenthe/
Kijk je Rijk!,Citizens help describe digitalize film fragments of Omroep Amersfoort between 1985 and 2011. ,History,Archief Eemland,The Netherlands,,,2013.0,2013,,Viewable,Yes,https://velehanden.nl/projecten/bekijk/details/status/closed/page/3/project/gam,https://www.archiefeemland.nl/
Adressen Bevolkingsregisters Stad Utrecht (1890 - 1899),Citizens help index scans of population registers from Utrecht between 1890 and 1899.,History,Utrechts Archief,The Netherlands,,,2017.0,2019,,Viewable,Yes,https://utrecht.nieuws.nl/onderwijswetenschap/74887/utrechts-archief-vraagt-hulp-bij-het-ontsluiten-van-utrechtse-bevolkingsregisters/,https://hetutrechtsarchief.nl/onderzoek/resultaten/archieven?mivast=39&mizig=210&miadt=39&miaet=1&micode=1007-2&minr=1307084&miview=inv2&milang=nl
Vele Ajacieden,Citizens describe photos in the archives of Ajax.,History,Ajax Archief,The Netherlands,,,2014.0,2016,,Viewable,Yes,https://velehanden.nl/projecten/bekijk/details/status/closed/page/2/project/afc_tagging,https://archief.ajax.nl/
Alle Amsterdamse Akten,Citizens transcribe notary deeds from notaries from Amsterdam between 1578 and 1915. ,History,Stadsarchief Amsterdam,The Netherlands,,,2016.0,ongoing,,Probably viewable once finished,No,https://velehanden.nl/projecten/bekijk/details/page/2/project/amsterdam_notarieel_2,-
Bevolkingsregisters Regionaal Archief Rivierenland,Citizens help index scans of population registers from Regionaal Archief Rivierenland between 1820 and 1940.,History,Regionaal Archief Rivierenland,The Netherlands,,,2014.0,2017,,Probably viewable,Unsure,https://velehanden.nl/projecten/bekijk/details/page/2/status/closed/project/rivierenland_bvr,-
Post van Weldadigheid,Citizens digitalize scans of letters between 1818 and 1847.,History,Drents Archief,The Netherlands,,,2015.0,2017,,Viewable,Yes,https://velehanden.nl/projecten/bekijk/details/status/closed/page/2/project/dre_cmw,http://alledrenten.nl/
Pilotproject transcripties Statenresoluties Overijssel 1799,Citizens transcribe two books containing resolutions adopted in Overijssel in 1799.,History,Historisch Centrum Overijssel,The Netherlands,,,2020.0,ongoing,,Probably viewable once finished,No,https://velehanden.nl/projecten/bekijk/details/project/hco_resoluties_transkribus,-
Burgerlijke stand Breda: Wie nog meer en wanneer!,Citizens help complete the population registers of the municipality of Breda and some municipalities near it. ,History,Stadsarchief Breda,The Netherlands,,,2018.0,2018,,Viewable,Yes,https://velehanden.nl/projecten/bekijk/details/status/closed/page/1/project/brd,https://stadsarchief.breda.nl/collectie/archief/genealogische-bronnen/persons
Missing Links,"Citizens link data related to photos to data already present in population registers of Hillegom, Leiden, Leiderdorp, Noordwijk, Rijnsburg, Sassenheim, Voorhout, Voorschoten, Warmond and Zoeterwoude.",History,Regionaal Archief Leiden,The Netherlands,,,2012.0,2019,,Viewable,Yes,https://velehanden.nl/projecten/bekijk/details/status/closed/page/1/project/leiden,https://www.erfgoedleiden.nl/collecties/personen
Westfriese Lidmaten,Citizens help index membership registers from churches between 1572 and 1913.,History,Westfries Archief,The Netherlands,,,2013.0,2017,,Viewable,Yes,https://velehanden.nl/projecten/bekijk/details/status/closed/page/2/project/wfg,https://www.westfriesarchief.nl/
Tag de tekst!,"Citizens tag names, locations and dates in already transcribed texts to train an AI to recognize those that were missed by people.",History,"Stadsarchief Amsterdam, Noord-Hollands Archief, Nationaal Archief and Regionaal Historische Centra",The Netherlands,,,2020.0,ongoing,,Probably viewable once finished,No,https://velehanden.nl/projecten/bekijk/details/project/sibr_annotate,-
De bevolkingsregisters Voorne-Putten,Citizens help index scans of population registers of the population of Voorne-Putten between 1826 and 1939. ,History,Streekarchief Voorne-Putten,The Netherlands,,,2015.0,2017,,Probably viewable,Unsure,https://velehanden.nl/projecten/bekijk/details/page/2/status/closed/project/picvh_vpr,-
Dagboeken van schrijvers,"Citizens transcribe diaries of Lodewijk van Deyssel, Henri van Booven and J. Greshoff.",History,Literatuurmuseum,The Netherlands,,,2017.0,2019,,Partly viewable,Yes,https://velehanden.nl/projecten/bekijk/details/status/closed/page/1/project/lkm_index,https://literatuurmuseum.nl/
Binnen- en buitengesticht van Zutphen,Citizens help index bedlam registers from the period between 1842 and 1938.  ,History,Regionaal Archief Zutphen,The Netherlands,,,2016.0,2016,,Viewable,Yes,https://velehanden.nl/projecten/bekijk/details/status/closed/page/2/project/szu_bevolkingsregister,https://erfgoedcentrumzutphen.nl/onderzoeken/archieven/details/NL-ZuRAZ-0110/path/2.4.1.2.19
AirSensEUR,Citizens help measure the quality of the air by placing sensors.,Environment, Joint Research Centre (JRC) of the European Commission ,The Netherlands,,,2015.0,ongoing,,No direct download,No,https://www.samenmetenaanluchtkwaliteit.nl/airsenseur,-
Luchtmeetnet Hillegersberg Schiebroek,Citizens place sensors in their backyards that measure the air quality. ,Environment,"None, the citizens in the area started it",The Netherlands,Rotterdam,,2017.0,ongoing,,Viewable,Yes,https://inhillegersberg.nl/geluid-lucht/424-luchtmeetnet-hillegersberg-schiebroek,https://login.munisense.net/login?url=https%3A%2F%2Foutdoorclimate.munisense.net%2F&theme=munisense-v2-lhis
Vuurwerkexperiment 2019 - 2020,Citizens help measure fine dust in the air during New Year's Eve.,Environment,RIVM,The Netherlands,,,2019.0,2019,,Viewable,Yes,https://www.samenmetenaanluchtkwaliteit.nl/projecten/vuurwerkexperiment-2019-2020,https://samenmeten.rivm.nl/vuurwerk/
Vang de Watermonsters,"Citizens take samples of water in lakes, canals etc. to measure the quality of the water. ",Environment,"Natuur&Milieu, ASN Bank, Hoogheemraadschap van Delfland, Hoogheemraadschap de Stichtse Rijnlanden, Waterschap Brabantse Delta, Waterschap Amstel Gooi en Vecht, Hoogheemraadschap van Rijnland, Hoogheemraadschap van Schieland en de Krimpenerwaard en Waterschap Rijn en IJssel, Nederlands Instituut voor Ecologie (NIOO-KNAW), NWB Bank",The Netherlands,,,2019.0,ongoing,,Viewable,Yes,https://www.natuurenmilieu.nl/themas/voedsel/projecten-voedsel/waterkwaliteit-biodiversiteit/watermonsters/,https://watermonsters.natuurenmilieu.nl/kaart
MySense,Citizens place sensors that measure the local air quality. This project is special considering it entails measuring fine dust and gas in an agricultural context. ,Environment,Stichting BurgerWetenschappers Land van Cuijk,The Netherlands,Region van Horst aan de Maas and Land van Cuijk,,2019.0,ongoing,,Viewable,Yes,http://behouddeparel.nl/samen-meten,https://samenmeten.rivm.nl/dataportaal/
Weer & Klimaat,"High school students measure the air pressure, temperature and humidity. ",Environment,GLOBE Nederland and the KNMI,The Netherlands,,,2012.0,ongoing,,Viewable,Yes,https://globenederland.nl/onderzoeksproject/weer/#info,https://vis.globe.gov/GLOBE/
Delft Meet Regen,"Citizens get a kit from the WaterLab which assists them in making their own rain gauge. Then, from the 18th of July until half September, they report every day how much rain has fallen.",Environment,"WaterLab (TU Delft), Gemeente Delft and Smartphones 4 Water",The Netherlands,Delft,There are some observations elsewhere,2020.0,ongoing,,Viewable,Yes,https://www.tudelft.nl/scd/waterlab/doe-mee-aan-onderzoek/project-7-delft-meet-regen,https://www.tudelft.nl/scd/waterlab/doe-mee-aan-onderzoek/onderzoeksresultaten
Papillottenproject,"Citizens photograph, register and repackage papillots in new acid-free bags and store them in high drawers in a standard manner again.",Environment,Naturalis Biodiversity Center,The Netherlands,Leiden,,2016.0,ongoing,,No direct download,No,https://www.naturalis.nl/collectie/verborgen-vlinders-het-gestroomlijnd-zichtbaar-maken-van-papillotten,-
Meetcampagne NO2 (Milieudefensie),Citizens help measure nitrogen dioxide in the air by placing sensors around place that are important to them.,Environment,Milieudefensie,The Netherlands,"Utrecht, Den Haag, Rotterdam, Amsterdam",,2015.0,2015,,Viewable,Yes,https://www.samenmetenaanluchtkwaliteit.nl/projecten/meetcampagne-no2-milieudefensie,https://milieudefensie.nl/actueel/rapport-wat-adem-jij-in.pdf
Maaspoort Meet!,Citizens living close to Maaspoort place sensors that measure the local air quality.,Environment,The Things Network and the RIVM ,The Netherlands,Maaspoort,,2017.0,ongoing,,Viewable ,Yes,https://www.samenmetenaanluchtkwaliteit.nl/maaspoort-meet,https://samenmeten.rivm.nl/dataportaal/
Urban AirQ (Amsterdam),Citizens help measure fine dust and nitrogen dioxide in the air in their street.,Environment,"Wageningen University & Research, KNMI, Waag Technology and Society, and GGD Amsterdam",The Netherlands,Amsterdam,,2016.0,2016,,Viewable,Yes,https://www.samenmetenaanluchtkwaliteit.nl/projecten/urban-airq-amsterdam,https://amt.copernicus.org/articles/11/1297/2018/
OeverWatch,Citizens report on biodiversity and biological water quality. They also measure the chemical water quality. ,Environment,WaterLab (TU Delft) and Hoogheemraadschap of Delftland ,The Netherlands,Midden Delftland,,2019.0,ongoing,,No direct download,No,https://www.tudelft.nl/scd/waterlab/doe-mee-aan-onderzoek/project-4-oeverwatch,-
Watermetingen door Mijn Omgeving,Citizens buy cheap sensors that measure the electrical conductivity of the water all day long. ,Environment,Mijn Omgeving and the RIVM,The Netherlands,,,2019.0,ongoing,,Viewable,Yes,https://www.samenmetenaanluchtkwaliteit.nl/projecten/watermetingen-door-mijn-omgeving,https://grafana.sensemakersams.org/d/m2HAkciWk/mijn-omgeving?orgId=1
WaterLab Circulair Water Flevoland,Citizens test circular water solutions in seven situations in practice. ,Environment,"Gemeente Almere, the province of Flevoland, Vitens and Waterschap Zuiderzeeland ",The Netherlands,Flevoland,,2021.0,ongoing,,No direct download,No,https://www.flevoland.nl/dossiers/waterlab-circulair-water,-
Visibilis,"On the initiative of two citizens, a suitcase containing multiple measuring instruments was attached to a measuring location already in use. The goal was to compare different tools. The citizens have written  report detailing the results. ",Environment,RIVM and DCMR Milieudienst Rijnmond,The Netherlands,Hoek van Holland,,2018.0,2019,,No direct download,No,https://www.samenmetenaanluchtkwaliteit.nl/visibilis,-
De Levende Bodem,High school students take samples of the soil and measure their quality. ,Environment,GLOBE Nederand and RIVM,The Netherlands,,,2011.0,ongoing,,Viewable,Yes,https://globenederland.nl/onderzoeksproject/bodem/#metingen,http://maps.bodemdata.nl/bodemdatanl/index.jsp
Grip Op Water - Altena,"Citizens report abnormal water circumstances. For instance, flooding or a place where the water does not drain. ",Environment,"Agrarische Natuur Vereniging,, Gemeente Altena, Waterschap Rivierenland and AgroExact",The Netherlands,,,2018.0,ongoing,,Viewable,Yes,http://altena.gripopwater.nl/over-ons/,https://wsrivierenland.maps.arcgis.com/apps/MapSeries/index.html?appid=ecdc63fe87bc431db608377635fa2567
Metingen 's Gravendijkwal (Rotterdam),Citizens investigate how the emissions of hazardous substances on the 's Gravendijkwasstraat can be limited with the use of a hoze that spreads very small particles of water. ,Environment,Stadslab Luchtkwaliteit,The Netherlands,Rotterdam,,2015.0,ongoing,,No direct download,No,https://www.samenmetenaanluchtkwaliteit.nl/metingen-s-gravendijkwal-rotterdam,-
Boeren Meten Water,Farmers and the water board work together to gain insights into the current situation of salinization and subsidence.,Environment,"Wetterskip Frysl√¢n, Waterschap Noorderzijlvest, Hoogheemraadschap Hollands Noorderkwartier, provinces Friesland, Groningen and Noord Holland, TWTG, TU Delft, Van Hall Larenstein, LTO Noord, Projecten LTO Noord, Acacia Water, Fixeau and farmers",The Netherlands,,North of The Netherlands,2019.0,ongoing,,No direct download,Unsure,https://boerenmetenwater.nl/aanleiding/,-
Samen stikstofdioxide meten met Palmes buisjes,Citizens measure nitrogen dioxide using Palmes tubes.,Environment,RIVM,The Netherlands,,,2019.0,ongoing,,Viewable,Yes,https://www.samenmetenaanluchtkwaliteit.nl/projecten/samen-stikstofdioxide-meten-met-Palmes-buisjes,https://samenmeten.rivm.nl/dataportaal/ 
Plastic Spotter ,Citizens spot plastic in the canals of Leiden and upload photos of it. ,Environment,"Citizen Science Lab, Leiden University and more",The Netherlands,Leiden,,2019.0,ongoing,,Viewable,Yes,https://www.plasticspotter.nl/,https://www.plasticspotter.nl/
Wadden Plastic,"Citizens choose a flood mark on either the Wadden or North Sea beaches, follow that mark and report every ten meters their estimate for the number of plastic granules for an area of 40x40 cm. ",Environment,University of Groningen,The Netherlands,Groningen,,2018.0,ongoing,,Viewable,Yes,https://survey123.arcgis.com/share/9c12036c270940c58de97252e1676ea8,"https://www.arcgis.com/home/webmap/viewer.html?webmap=3eb9b39fda224e1086ce8b8ffdacf053&extent=6.0562,53.4204,6.2258,53.4812"
Zet 'm op 70!,"Citizens decrease the temperature of the water with which their house is warmed, from 80-90 degrees Celsius to 70 degrees Celsius for two months. They also place automatic sensors that measure the temperatures inside and outside. Lastly, they fill out a questionnaire regarding their experiences.  ",Environment,WaterLab (TU Delft) and Warm in de Wijk,The Netherlands,,Multiple municipalities,2018.0,ongoing,,No direct download,No,https://www.tudelft.nl/scd/waterlab/doe-mee-aan-onderzoek/project-5-zet-m-op-70,-
Hollandse Luchten,Citizens in Noord-Holland place sensors that measure the local air quality. ,Environment,"RIVM, Waag Technology and Society, de Gemeente Zaanstad, Gemeente Haarlem, Omgevingsdienst IJmond, Omgevingsdienst Noordzeekanaal, TATA Steel, Smart City Haarlem, Buiksloterham Circulair, Studio O, Stofmelder and Brak! IJmuiden",The Netherlands,NoordHolland,,2019.0,ongoing,,Viewable,Yes,https://hollandseluchten.waag.org/,https://hollandseluchten.waag.org/kaart/
Drinkable Rivers,Citizens sign in and pick up one of the test kits from one of the locations located all over Europe. The kits are used to collect samples of water and measure the water quality. Results are entered into a database. ,Environment,"WaterLab (TU Delft), Li An Phoa (started it) and Dr. Renata van der Weijden (WUR)",Europe,,,2019.0,ongoing,,Viewable,Yes,https://drinkablerivers.org/what-we-do/citizen-science/,https://www.tudelft.nl/scd/waterlab/doe-mee-aan-onderzoek/onderzoeksresultaten
Nationale Lichtmeting,Elementary school children build their own spectroscope and see what lamps are used in their surroundings. ,Environment,GLOBE Nederand,The Netherlands,,,2015.0,2020,,No direct download,No,https://globenederland.nl/onderzoeksprojecten/lichtmeting/,-
SCOREwater,"Citizens help investigate how the city of Amersfoort can become more adaptive to the changing climate, especially with regards to flooding as this is a problem in the city. ",Environment,"Gemeente Amersfoort, Civity, Eurecat, City of Gothenburg, HydroLogic, IERMB, IVL, s::can, Talkpool, Universeum, ICRA, Swedish Hydro Solutions, Future City Foundation and Barcelona Cicle de l‚ÄôAigua. ","The Netherlands, Sweden, Spain",,The Netherlands: Amersfoort; Sweden: Gothenburg; Spain: Barcelona,2019.0,ongoing,,No direct download,No,https://www.scorewater.eu/#3cases,-
Snuffelfiets,Citizens measure air quality through sensors attached to their bicycles by cycling different routes. ,Environment,"Provincie Utrecht, Civity, SODAQ and the RIVM",The Netherlands,Utrecht province,,2019.0,ongoing,2018 pilot,Viewable ,Yes,https://www.samenmetenaanluchtkwaliteit.nl/snuffelfiets,https://snuffelfiets.nl/data/
EyeOnWater,"Citizens help classify rivers, lakes, coastal waters, seas and oceans based on their color with the help of an app.",Environment,NIOZ and VU Amsterdam,The Netherlands,,Also Worldwide,2016.0,ongoing,,Viewable,Yes,https://www.eyeonwater.org/about-us,https://www.eyeonwater.org/search/
Amsterdam Sounds,Citizens in Amsterdam place sensors that measure the amount and kind of noise. ,Environment,"Gemeente Amsterdam, Ombudsman Metropool Amsterdam, Sensemakers Amsterdam, Sensing Clues and Waag Technology & Society",The Netherlands,Amsterdam,,2019.0,ongoing,,Viewable,Yes,https://amsterdamsounds.waag.org/,https://amsterdamsounds.waag.org/kaart/
Explane,Citizens meausre the noise made by planes with their smartphones.,Environment,SchipholWatch,The Netherlands,,,2018.0,ongoing,,Viewable,Yes,"https://explane.org/#:~:text=ExPlane%20is%20the%20app%20to%20register%20aviation%20noise&text=The%20app%20gives%20you%20the,by%20residents%20living%20near%20airports",https://reports.explane.org/nl/
Check de Stadvergroening!,"Citizens first register, alone or in a group, and then follow a step-by-step plan of what they ought to do. They inspect a place they choose themselves on what the soil consists of, and check the draining of rainwater and whether flooding occurs after heavy rain.",Environment,WaterLab (TU Delft) and the Hoogheemsraadschap of Delftland,The Netherlands,,,2018.0,ongoing,,No direct download,No,https://www.tudelft.nl/scd/waterlab/doe-mee-aan-onderzoek/project-2-check-de-stadsvergroening,-
Samen Luchtkwaliteit Meten in Zuid-Holland,"Citizens place sensors that measure the local air quality. This is mostly done in so-called ""meetclubs"", where multiple sensors are placed close to each other in cluster. ",Environment,"Provincie Zuid-Holland, RIVM and DCMR Milieudienst Rijnmond",The Netherlands,ZuidHolland ,,2017.0,ongoing,,Viewable,Yes,https://www.samenmetenaanluchtkwaliteit.nl/projecten/samen-luchtkwaliteit-meten-in-zuid-holland,https://samenmeten.rivm.nl/dataportaal/  
CHARRED,Citizens measure the amount of fine dust by putting sensors in their backyards. ,Environment,"RIVM, GGD Amsterdam, Stichting HoutrookVrij and the Longfonds",The Netherlands,Amsterdam,Pilot,2019.0,ongoing,,Viewable ,Yes,https://www.samenmetenaanluchtkwaliteit.nl/projecten/samen-houtrook-meten ,https://samenmeten.rivm.nl/dataportaal/
Vuurwerkexperiment 2018 - 2019,Citizens help measure fine dust in the air during New Year's Eve.,Environment,RIVM,The Netherlands,,,2018.0,2019,,Viewable,Yes,https://www.samenmetenaanluchtkwaliteit.nl/vuurwerkexperiment-2018-2019,https://samenmeten.rivm.nl/dataportaal/
Almere meet water,Citizens get one of the measuring toolboxes and measure the quality of the water in their neighborhood. ,Environment,"Gemeente Almere, Waterschap Zuiderzeeland, knowledge institutions Deltares and Wageningen Environmental Research (WEnR), artist Pav√®l van Houten, Almere Stad & Natuur and Waterburgemeester Almere",The Netherlands,Almere,,2019.0,2019,,Viewable ,Yes,https://almeremeetwater.nl/,https://almeremeetwater.nl/kaart/
Waterkwaliteit in Europa,Citizens first request research packages with which they collect a sample of water they send back. ,Environment,WaterLab (TU Delft) and KWR,Europe,,,2017.0,2017,,Viewable,Yes,https://www.tudelft.nl/scd/waterlab/doe-mee-aan-onderzoek/project-1-waterkwaliteit-in-europa,"https://www.arcgis.com/home/webmap/viewer.html?webmap=9f6c2e258f2f40a884335feaf85501a7&extent=3.9538,51.8158,4.968,52.1811"
Smart Emission Nijmegen Project,"Citizens in Nijmegen place sensors that measure the air quality, the amount of noise, vibrations en meteorological indicators. ",Environment,"Radboud University, gemeente Nijmegen, Geonovum, Intemo, CityGIS and the RIVM",The Netherlands,Nijmegen,,2015.0,ongoing,,Viewable,Yes,https://data.smartemission.nl/home,https://data.smartemission.nl/data
Meet je Stad,"Citizens measure temperature, humidity, air quity and soil moisture. ",Environment,"Gemeente Amersfoort, Waterschap Vallei en Veluwe and Hogeschool van Amsterdam",The Netherlands,Amersfoort,,2015.0,ongoing,,Viewable,Yes,https://www.meetjestad.net/nl/MeetjeStad,https://www.meetjestad.net/data/
Vuurwerkexperiment 2017/2018,Citizens help measure fine dust in the air during New Year's Eve.,Environment,RIVM,The Netherlands,,,2017.0,2018,,Viewable ,Yes,https://www.samenmetenaanluchtkwaliteit.nl/vuurwerkexperiment-20172018,https://samenmeten.rivm.nl/dataportaal/
iSPEX,Citizens help measure fine dust in the air.,Environment,"RIVM, NOVA, SRON and the KNMI",The Netherlands,,,2012.0,2013,,No direct download,No,https://www.samenmetenaanluchtkwaliteit.nl/ispex,-
AiREAS Eindhoven,Citizens set up a project to measure air quality in the city of Eindhoven.,Environment,Stichting STIR (Stad van Morgen),The Netherlands,Eindhoven,,2013.0,ongoing,,No direct download,No,https://www.samenmetenaanluchtkwaliteit.nl/aireas-eindhoven,-
Oud & Nieuw 2020 - 2021,Citizens help measure fine dust in the air during New Year's Eve.,Environment,RIVM,The Netherlands,,,2020.0,2020,,Viewable,Yes,https://www.samenmetenaanluchtkwaliteit.nl/oud-nieuw-2020-2021,https://samenmeten.rivm.nl/vuurwerk/
Samen Meten aan Luchtkwaliteit,Citizens measure airquality by putting sensors in their backyards. ,Environment,RIVM ,The Netherlands,,,2016.0,ongoing,,Viewable,Yes,https://www.samenmetenaanluchtkwaliteit.nl/,https://samenmeten.rivm.nl/dataportaal/
Versheid van Water,Citizens help researchers use the new technique Next Generation Sequencing to determine whether water is a fresh product. ,Environment,Waternet and KWR Watercycle Research Institute,The Netherlands,,,2015.0,2015,,No direct download,No,https://www.kwrwater.nl/projecten/citizen-science-praktijkpilot-versheid-water/,-
