name,description,category,organization,country,location,notes_location,start_date,end_date,notes_duration,data_accessibility,accessibility_for_research,project_information_url,data_url
Alle Scholen Verzamelen,Elementary school children partake in science projects and help gather data for research.,Society,University of Twente together with the other science hubs in the country,The Netherlands,,,2019.0,ongoing,,No direct download,No,https://www.wetenschapsknooppunten.nl/alle-scholen-verzamelen/citizen-science/,-
Zie Ik Spoken?,"Citizens first complete an extensive questionnaire about who they are, what their sleeping habits are and whether they sometimes feel like seeing, hearing, feeling or smelling things that are not there. Then they play a game where they have to press a certain key when they see a specific item of clothing or hear a specific word in a movie. Finally, they receive a few questions about substance use (drugs and alcohol) and the project concludes with a hearing test.",Society,UMC Utrecht,The Netherlands,,,2016.0,2016,,No direct download,No,https://www.nemokennislink.nl/publicaties/zie-ik-spoken/,-
Stemmen – Gronings (Nedersaksisch),Citizens record themselves saying different words and take a quiz to determine what dialect they speak. ,Society,"Stichting Huis van de Groninger Cultuur, University of Grongingen and L√¢n fan Taal",The Netherlands,,,2019.0,ongoing,,No direct download,No,https://woordwaark.nl/stemmen/,-
Stimmen,Citizens record themselves saying different words and take a quiz to determine what dialect they speak. ,Society,University of Groningen and L√¢n fan Taal,The Netherlands,Friseland,,2017.0,ongoing,,Viewable,Yes,http://stimmen.nl/,http://stimmen.nl/uitspraakkaarten/
Nationale PlasticWatch,"Citizens report litter to help Rijkswaterstaat gain insights on the origin, transport and distribution of litter.",Cities,"WaterLab (TU Delft), Rijkswaterstaat, Hogeschool Rotterdam and HZ University of Applied Sciences",The Netherlands,,,2020.0,ongoing,,No direct download,No,https://www.tudelft.nl/scd/waterlab/doe-mee-aan-onderzoek/project-6-nationale-plasticwatch,-
Het Nieuwe Strepen,"Special form of ‚ÄúKilometerhokken Inventariseren‚Äù. It works similar to that project, but now the area is searched by two citizens, independent from each other. ",Uncategorized,FLORON,The Netherlands,,,2012.0,ongoing,,Viewable,Yes,https://www.floron.nl/meedoen/het-nieuwe-strepen ,https://www.ndff.nl/overdendff/data/
Opgemaakt samengevat en ingeklopt: notari√´le akten in Brabant 1743 - 1935,Citizens transcribe notary deeds from notaries from Brabant between 1743 and 1935. ,History,Brabants Historisch Informatie Centrum,The Netherlands,,,2015.0,ongoing,,Probably viewable once finished,No,https://velehanden.nl/projecten/bekijk/details/page/2/project/bhic_repnot,-
In dienst van het Hof (1814 - 1940),Citizens digitalize genealogical registers of the staff from King Willem I up until Queen Wilhelmina.,History,Koninklijk Huisarchief,The Netherlands,,,2017.0,2017,,Viewable,Yes,https://velehanden.nl/projecten/bekijk/details/status/closed/page/2/project/kha,https://www.wiewaswie.nl/
Hallo Midden-Holland! De bevolkingsregisters van Midden-Holland ,Citizens help index scans of population registers from Midden-Holland between 1825 and 1930.,History,Streekarchief Midden-Holland,The Netherlands,,,2019.0,ongoing,,Probably viewable once finished,No,https://velehanden.nl/projecten/bekijk/details/project/sahm_index_bevolkingsregisters,-
WieWasWie - Bevolkingsregisters,"Citizens help index scans of population registers from Breda, Rotterdam and Maastricht between 1850 and 1938.",History,"Stadsarchief Breda, Stadsarchief Rotterdam and Regionaal Historisch Centrum Limburg (RHCL)",The Netherlands,,,2014.0,ongoing,,Probably viewable once finished,No,https://velehanden.nl/projecten/bekijk/details/page/2/project/wiewaswie_bvr,-
Wonen op Walcheren vervolg Bevolkingsregisters 1812 - 1900,Citizens help index scans of population registers from Zeeland between 1812 and 1900.,History,Zeeuws Archief,The Netherlands,,,2015.0,2018,,Viewable,Yes,https://velehanden.nl/projecten/bekijk/details/status/closed/page/1/project/picvh_zar,https://www.zeeuwsarchief.nl/zeeuwen-gezocht/
Tags en uitleg,Citizens describe photos in the archives of the Maria Austria Instituut.,History,Maria Austria Instituut,The Netherlands,,,2013.0,ongoing,,Probably viewable once finished,No,https://velehanden.nl/projecten/bekijk/details/page/2/project/mai_tagging,-
Met Oprechte Deelneming,Citizens help index scans of death certificates from Gelderland between 1951 and 1960. ,History,Gelders Archief,The Netherlands,,,2017.0,2017,,Probably viewable,Unsure,https://velehanden.nl/projecten/bekijk/details/page/2/status/closed/project/gda_2,-
Gezocht! Inkloppers van Brabantse gevangenisregisters 1821 - 1940,Citizens help digitalize the registration files from prisons in Brabant from the period from 1821 up until 1940.,History,Brabants Historisch Informatie Centrum,The Netherlands,,,2014.0,2015,,Viewable,Yes,https://velehanden.nl/projecten/bekijk/details/status/closed/page/3/project/bhic_strafgevangenissen,http://www.bhic.nl/onderzoeken/hulp-bij-onderzoek/gevangenisarchieven
Van de kaart: georefereren van historische kaarten van Stadsarchief Amsterdam,Citizens do georeferencing by placing old maps of Amsterdam over existing ones to determine their placement. ,History,Stadsarchief Amsterdam,The Netherlands,,,2016.0,2019,,Viewable,Yes,https://velehanden.nl/projecten/bekijk/details/status/closed/page/1/project/amsterdam_kaarten,https://archief.amsterdam/inventarissen/details/10035
Toen-en-nu: Zet Noordwest-Holland op de kaart,Citizens do georeferencing by placing old maps of Noordwest-Holland over existing ones to determine their placement. ,History,Regionaal Archief Alkmaar,The Netherlands,,,2018.0,2018,,Viewable,Yes,https://velehanden.nl/projecten/bekijk/details/status/closed/page/1/project/raa,https://www.regionaalarchiefalkmaar.nl/collecties/beelden/beelden-2/?q=kaarten&mode=gallery&view=horizontal
Het beeld van Groningen: Persfotobureau D. van der Veen,Citizens describe photos of Persfotobureau D. van der Veen from the sixties and seventies of the 20th century. ,History,Groninger Archieven,The Netherlands,,,2018.0,ongoing,,Probably viewable once finished,No,https://velehanden.nl/projecten/bekijk/details/project/gra_tagging_vanderveen,-
Oudste bevolkingsregisters van Nijmegen (1820 - 1850),Citizens help index scans of population registers from Nijmegen between 1820 and 1850.,History,Regionaal Archief Nijmegen,The Netherlands,,,2015.0,2016,,Viewable,Yes,https://velehanden.nl/projecten/bekijk/details/status/closed/page/2/project/picvh_han_nijmegen,https://studiezaal.nijmegen.nl/zoeken.php
Westfriezen Geregistreerd,Citizens help index scans of population registers from West Friesland betweeen 1840 and 1930.,History,Westfries Archief,The Netherlands,,,2017.0,2018,,Viewable,Yes,https://velehanden.nl/projecten/bekijk/details/status/closed/page/1/project/wfg_index,https://www.westfriesarchief.nl/onderzoek/zoeken/personen
Surinaamse slavenregisters 1830 - 1863,Citizens index scans of slave registers of plantations in Suriname between 1830 and 1863.,History,Radboud University and Anton de Kom Universiteit Suriname,The Netherlands,,,2017.0,ongoing,,Probably viewable once finished,No,https://velehanden.nl/projecten/bekijk/details/page/2/project/run_slavenregisters,-
